Fecha,Consumo_Total_Provincial,Poblacion_Estimada,Total_Mes_Anterior (t-1),Total_Hace_2Meses (t-2),Total_Anio_Anterior (t-12),Mes_Calendario
2011-01-01,28309904.0,135742,,,,1
2011-02-01,30370646.0,135742,28309904.0,,,2
2011-03-01,32572518.0,135742,30370646.0,28309904.0,,3
2011-04-01,34153107.0,135742,32572518.0,30370646.0,,4
2011-05-01,35645290.0,135742,34153107.0,32572518.0,,5
2011-06-01,38549317.0,135742,35645290.0,34153107.0,,6
2011-07-01,36200473.0,135742,38549317.0,35645290.0,,7
2011-08-01,38213754.0,135742,36200473.0,38549317.0,,8
2011-09-01,36612115.0,135742,38213754.0,36200473.0,,9
2011-10-01,36471991.0,135742,36612115.0,38213754.0,,10
2011-11-01,33566246.0,135742,36471991.0,36612115.0,,11
2011-12-01,32654705.0,135742,33566246.0,36471991.0,,12
2012-01-01,30091986.0,139852,32654705.0,33566246.0,28309904.0,1
2012-02-01,31786718.0,139852,30091986.0,32654705.0,30370646.0,2
2012-03-01,33522268.0,139852,31786718.0,30091986.0,32572518.0,3
2012-04-01,35271002.0,139852,33522268.0,31786718.0,34153107.0,4
2012-05-01,37707222.0,139852,35271002.0,33522268.0,35645290.0,5
2012-06-01,38679938.0,139852,37707222.0,35271002.0,38549317.0,6
2012-07-01,38726253.0,139852,38679938.0,37707222.0,36200473.0,7
2012-08-01,41911491.0,139852,38726253.0,38679938.0,38213754.0,8
2012-09-01,37047812.0,139852,41911491.0,38726253.0,36612115.0,9
2012-10-01,37651121.0,139852,37047812.0,41911491.0,36471991.0,10
2012-11-01,36137956.0,139852,37651121.0,37047812.0,33566246.0,11
2012-12-01,33593882.0,139852,36137956.0,37651121.0,32654705.0,12
2013-01-01,32333992.0,143987,33593882.0,36137956.0,30091986.0,1
2013-02-01,32985851.0,143987,32333992.0,33593882.0,31786718.0,2
2013-03-01,34853884.0,143987,32985851.0,32333992.0,33522268.0,3
2013-04-01,37232764.0,143987,34853884.0,32985851.0,35271002.0,4
2013-05-01,37730780.0,143987,37232764.0,34853884.0,37707222.0,5
2013-06-01,42633389.0,143987,37730780.0,37232764.0,38679938.0,6
2013-07-01,42066820.0,143987,42633389.0,37730780.0,38726253.0,7
2013-08-01,44065113.0,143987,42066820.0,42633389.0,41911491.0,8
2013-09-01,41253492.0,143987,44065113.0,42066820.0,37047812.0,9
2013-10-01,41245737.0,143987,41253492.0,44065113.0,37651121.0,10
2013-11-01,38521665.33,143987,41245737.0,41253492.0,36137956.0,11
2013-12-01,36274415.0,143987,38521665.33,41245737.0,33593882.0,12
2014-01-01,33111510.0,148143,36274415.0,38521665.33,32333992.0,1
2014-02-01,33417389.528,148143,33111510.0,36274415.0,32985851.0,2
2014-03-01,36807320.43,148143,33417389.528,33111510.0,34853884.0,3
2014-04-01,38235585.93,148143,36807320.43,33417389.528,37232764.0,4
2014-05-01,39284093.421,148143,38235585.93,36807320.43,37730780.0,5
2014-06-01,41216727.231,148143,39284093.421,38235585.93,42633389.0,6
2014-07-01,40522564.231,148143,41216727.231,39284093.421,42066820.0,7
2014-08-01,42799644.914,148143,40522564.231,41216727.231,44065113.0,8
2014-09-01,41890701.58,148143,42799644.914,40522564.231,41253492.0,9
2014-10-01,40593816.056,148143,41890701.58,42799644.914,41245737.0,10
2014-11-01,39816117.0,148143,40593816.056,41890701.58,38521665.33,11
2014-12-01,35470623.0,148143,39816117.0,40593816.056,36274415.0,12
2015-01-01,35006464.419,152317,35470623.0,39816117.0,33111510.0,1
2015-02-01,35921438.528,152317,35006464.419,35470623.0,33417389.528,2
2015-03-01,38293058.43,152317,35921438.528,35006464.419,36807320.43,3
2015-04-01,39902937.93,152317,38293058.43,35921438.528,38235585.93,4
2015-05-01,41473719.421,152317,39902937.93,38293058.43,39284093.421,5
2015-06-01,44018827.231,152317,41473719.421,39902937.93,41216727.231,6
2015-07-01,44522778.231,152317,44018827.231,41473719.421,40522564.231,7
2015-08-01,48685748.914,152317,44522778.231,44018827.231,42799644.914,8
2015-09-01,45183276.58,152317,48685748.914,44522778.231,41890701.58,9
2015-10-01,44002423.056,152317,45183276.58,48685748.914,40593816.056,10
2015-11-01,42196539.0,152317,44002423.056,45183276.58,39816117.0,11
2015-12-01,38878747.0,152317,42196539.0,44002423.056,35470623.0,12
2016-01-01,36539000.419,156509,38878747.0,42196539.0,35006464.419,1
2016-02-01,39006369.528,156509,36539000.419,38878747.0,35921438.528,2
2016-03-01,41482895.43,156509,39006369.528,36539000.419,38293058.43,3
2016-04-01,42759673.93,156509,41482895.43,39006369.528,39902937.93,4
2016-05-01,43888208.421,156509,42759673.93,41482895.43,41473719.421,5
2016-06-01,43247141.231,156509,43888208.421,42759673.93,44018827.231,6
2016-07-01,43330015.231,156509,43247141.231,43888208.421,44522778.231,7
2016-08-01,45052254.914,156509,43330015.231,43247141.231,48685748.914,8
2016-09-01,44288897.58,156509,45052254.914,43330015.231,45183276.58,9
2016-10-01,42539710.056,156509,44288897.58,45052254.914,44002423.056,10
2016-11-01,40032773.33,156509,42539710.056,44288897.58,42196539.0,11
2016-12-01,36323189.326,156509,40032773.33,42539710.056,38878747.0,12
2017-01-01,37122877.0,160720,36323189.326,40032773.33,36539000.419,1
2017-02-01,36756043.0,160720,37122877.0,36323189.326,39006369.528,2
2017-03-01,38969685.0,160720,36756043.0,37122877.0,41482895.43,3
2017-04-01,40724102.0,160720,38969685.0,36756043.0,42759673.93,4
2017-05-01,42708711.0,160720,40724102.0,38969685.0,43888208.421,5
2017-06-01,43732420.0,160720,42708711.0,40724102.0,43247141.231,6
2017-07-01,45817943.0,160720,43732420.0,42708711.0,43330015.231,7
2017-08-01,46551741.0,160720,45817943.0,43732420.0,45052254.914,8
2017-09-01,44327694.0,160720,46551741.0,45817943.0,44288897.58,9
2017-10-01,44049081.0,160720,44327694.0,46551741.0,42539710.056,10
